spec_id,product name,manufacturer,camera type,weight,megapixels,lcd screen size,dimensions,page_title
www.gosale.com//1001,"['fujifilm', 'finepix', 's1', '16mp', 'weather', 'resistant', 'digital', 'camera']",fuji photo film,underwater,,,,,"['fujifilm', 'finepix', 's1', '16mp', 'weather', 'sale', '36590']"
www.gosale.com//399,"['canon', 'powershot', 'sx700', 'hs', 'digital', 'camera', 'red']",canu9,point shoot,,,,,"['canon', 'powershot', 'sx700', 'hs', 'digital', 'camera', 'sale', '27683']"
www.gosale.com//1097,"['olympus', 'omd', 'em5', '16mp', 'micro', '43', 'mirrorless', 'camera', 'black', 'body']",olympus,point shoot,,,,,"['olympus', 'omd', 'em5', '16mp', 'micro', '43', 'sale', '64900']"
www.gosale.com//1444,"['canon', 'powershot', 'sd500', '7mp', 'digital', 'elph', 'camera', '3x', 'optical', 'zoom']",canon,,227.0,,,h3.5w2.2d1.0,"['canon', 'powershot', 'sd500', '7mp', 'digital', 'elph', 'sale', '50899']"
www.gosale.com//819,"['canon', 'eos', 'rebel', 't4i', '18mp', 'cmos', 'digital', 'camera', 'body']",canon,slr,,,,,"['canon', 'eos', 'rebel', 't4i', '18mp', 'cmos', 'digital', 'sale', '56331']"
www.gosale.com//824,"['panasonic', 'lumix', 'dmczs20', '141', 'mp', 'digital', 'camera', '16x', 'wide', 'angle', 'optical', 'image', 'stabilized', 'zoom', 'builtin', 'gps', 'function', 'black', 'w16gb', 'sdhc', 'memory', 'extra', 'extended', 'life', 'dmwbcg10', 'battery', 'deluxe', 'case', 'wstrap', 'memory', 'card', 'wallet', 'usb', 'card', 'reader']",panasonic,,,,,,"['panasonic', 'lumix', 'dmczs20', '141', 'mp', 'digital', 'sale', '45949']"
www.gosale.com//726,"['pentax', 'k5', '163', 'mp', 'digital', 'slr', 'black', 'pentax', '1855', 'f3556', 'ii', 'af', 'lens', 'w32gb', 'sdhc', 'memory', '2', 'extended', 'life', 'batteries', 'acdc', 'charger', '3', 'piece', 'filter', 'kit', 'sdhc', 'usb', 'card', 'reader', 'shock', 'proof', 'deluxe', 'case', 'wstrap', 'full', 'size', 'tripod', 'memory', 'card', 'walle']",pentax,,,,,,"['pentax', 'k5', '163', 'mp', 'digital', 'slr', 'black', 'sale', '109989']"
www.gosale.com//457,"['nikon', '1', 'aw1', '142mp', 'waterproof', 'shockproof', 'digital', 'camera', 'system', 'aw', '11275mm', 'f3556', 'lens', 'white']",nikon,slr,,,,,"['nikon', '1', 'aw1', '142mp', 'waterproof', 'shockproof', 'sale', '63495']"
www.gosale.com//1266,"['panasonic', 'lumix', 'dmczs15', '121', 'mp', 'digital', 'camera', '16x', 'optical', 'zoom', 'black', 'bigvalueinc', 'accessory', 'saver', '8gb', 'bundle']",panasonic,,,,,,"['panasonic', 'lumix', 'dmczs15', '121', 'mp', 'digital', 'sale', '24039']"
www.gosale.com//1039,"['lytro', 'light', 'field', 'camera', '8gb', 'electric', 'blue']",lytro,,,,,,"['lytro', 'light', 'field', 'camera', 'sale', '31995']"
www.gosale.com//1410,"['canon', 'powershot', 'g9', '121mp', 'digital', 'camera', '6x', 'optical', 'image', 'stabilized', 'zoom']",canon,,1362.0,,,h4.2w2.8d1.7,"['canon', 'powershot', 'g9', '121mp', 'digital', 'camera', 'sale', '50101']"
www.gosale.com//1221,"['olympus', 'pen', 'ep3', 'live', 'mos', 'micro', 'four', 'thirds', 'interchangeable', 'lens', '123mp', 'digital', 'camera', '1442mm', 'zoom', 'lens']",olympus,,,,,,"['olympus', 'pen', 'ep3', 'live', 'mos', 'micro', 'four', 'sale', '42599']"
www.gosale.com//1491,"['canon', 'powershot', 'a630', '8mp', 'digital', 'camera', '4x', 'optical', 'zoom']",canon,,454.0,,,h4.3w2.6d1.9,"['canon', 'powershot', 'a630', '8mp', 'digital', 'camera', 'sale', '49598']"
www.gosale.com//1135,"['panasonic', 'lumix', 'dmcg5kk', '16mp', 'compact', 'system', 'camera', 'full', 'hd', '1442mm', 'zoom']",panasonic,point shoot,,,,,"['panasonic', 'lumix', 'dmcg5kk', '16mp', 'compact', 'sale', '34995']"
www.gosale.com//867,"['panasonic', 'lumix', 'dmcgh3', '16mp', 'digital', 'mirrorless', 'camera', 'body']",panasonic,point shoot,,,,,"['panasonic', 'lumix', 'dmcgh3', '16mp', 'digital', 'sale', '89799']"
www.gosale.com//911,"['sony', 'dscrx1b', 'cybershot', 'fullframe', 'digital', 'camera', 'external', 'rapid', 'charger', '32gb', 'sdhc', 'class', '10', 'memory', 'card', '49mm', 'uv', 'filter', 'carrying', 'case', 'npbx1', 'battery', 'mini', 'tripod', 'kit', 'usb', 'sdhc', 'reader']",ebasket,,,,,,"['sony', 'dscrx1b', 'cybershot', 'fullframe', 'sale', '242909']"
www.gosale.com//930,"['nikon', 'd5100', '162mp', 'digital', 'slr', 'camera', 'body']",nikon,slr,,,,,"['nikon', 'd5100', '162mp', 'digital', 'slr', 'camera', 'sale', '40980']"
www.gosale.com//1293,"['nikon', 'coolpix', 's1000pj', '121mp', 'digital', 'camera', 'w', 'builtin', 'projector', '5x', 'wide', 'angle', 'vr', 'zoom']",nikon,point shoot,,12.1,2.7,,"['nikon', 'coolpix', 's1000pj', '121mp', 'digital', 'sale', '20249']"
www.gosale.com//986,"['canon', 'powershot', 'sd1000', '71mp', 'digital', 'elph', 'camera', '3x', 'optical', 'zoom', 'silver']",canon,,908.0,,,h3.4w2.1d0.8,"['canon', 'powershot', 'sd1000', '71mp', 'digital', 'elph', 'sale', '31548']"
www.gosale.com//796,"['olympus', 'pen', 'epl2', '123mp', 'cmos', 'micro', 'four', 'thirds', 'interchangeable', 'lens', 'digital', 'camera', '1442mm', 'lens']",olympus,,,12.3,3.0,,"['olympus', 'pen', 'epl2', '123mp', 'cmos', 'micro', 'four', 'sale', '39999']"
www.gosale.com//1047,"['canon', 'powershot', 'sx200is', '12mp', 'camera', 'w', '12x', 'wide', 'angle', 'optical', 'zoom', 'color', 'blue']",canon,point shoot,454.0,12.1,3.0,,"['canon', 'powershot', 'sx200is', '12mp', 'camera', 'w', 'sale', '35548']"
www.gosale.com//1466,"['olympus', 'pen', 'epl1', '123mp', 'live', 'mos', 'micro', 'four', 'thirds', 'camera', '1442mm', 'f3556', 'zuiko', 'zoom', 'lens', 'black']",olympus,point shoot,,12.3,2.7,,"['olympus', 'pen', 'epl1', '123mp', 'live', 'mos', 'micro', 'sale', '54995']"
www.gosale.com//938,"['olympus', 'e5', '123mp', 'digital', 'slr', 'body']",olympus,slr,,12.3,,,"['olympus', 'e5', '123mp', 'digital', 'slr', 'sale', '197900']"
www.gosale.com//810,"['canon', 'powershot', 'sx130', '121mp', 'digital', 'camera', 'w', '12x', 'wide', 'angle', 'zoom']",canon,point shoot,,12.1,,,"['canon', 'powershot', 'sx130', '121mp', 'digital', 'sale', '18798']"
www.gosale.com//1305,"['canon', 'powershot', 'sx100is', '8mp', 'digital', 'camera', '10x', 'optical', 'image', 'stabilized', 'zoom']",canon,,908.0,,,h4.3w2.8d1.6,"['canon', 'powershot', 'sx100is', '8mp', 'digital', 'sale', '40599']"
www.gosale.com//918,"['canon', 'eos', 'rebel', 't5i', '700d', 'camera', '5', 'lens', 'kit', '18135mm', '75300mm', '50mm', '52mm', '2x', 'telephoto', '52mm', 'wide', 'angle', '24', 'gb']",gid,,,,,,"['canon', 'eos', 'rebel', 't5i', '700d', 'camera', '5', 'lens', 'sale', '114190']"
www.gosale.com//1085,"['canon', 'powershot', 'sd940', 'digital', 'elph', '121mp', 'camera', 'w', '4x', 'wide', 'angle', 'optical', 'zoom', 'silver']",canon,point shoot,,12.1,,,"['canon', 'powershot', 'sd940', 'digital', 'elph', 'sale', '27798']"
www.gosale.com//793,"['canon', 'g1', 'x', '141', 'mp', 'cmos', 'digital', 'camera', '4x', 'wideangle', 'optical', 'image', 'stabilized', 'zoom', 'lens', 'full', '1080p', 'hd', 'video', '30inch', 'variangle', 'lcd', 'deluxe', 'bundle', '32gb', 'sdhc', 'memory', 'card', 'card', 'reader', 'case', 'batteries', 'nb10l']",bvi,,,,,,"['canon', 'g1', 'x', '141', 'mp', 'cmos', 'digital', 'camera', 'sale', '71900']"
www.gosale.com//590,"['pentax', 'kr', '124mp', 'digital', 'slr', 'camera', 'white', 'body']",pentax,,,12.4,3.0,,"['pentax', 'kr', '124mp', 'digital', 'slr', 'camera', 'sale', '49382']"
www.gosale.com//1440,"['canon', 'eos', '6d', 'digital', 'slr', 'camera', '24105mm']",gid,,,,,,"['canon', 'eos', '6d', 'digital', 'slr', 'camera', 'sale', '227794']"
www.gosale.com//625,"['nikon', 'coolpix', 'l830', '16mp', 'cmos', 'digital', 'camera', '34x', 'zoom', 'full', '1080p', 'hd', 'video', 'red']",nikon,point shoot,,,,,"['nikon', 'coolpix', 'l830', '16mp', 'cmos', 'digital', 'sale', '14995']"
www.gosale.com//1336,"['panasonic', 'lumix', 'dmcgh3', 'mirrorless', 'micro', 'four', 'thirds', 'digital', 'camera', 'black', '8gb', 'sdhc', 'memory', 'card']",panasonic,,,,,,"['panasonic', 'lumix', 'dmcgh3', 'mirrorless', 'micro', 'sale', '129800']"
www.gosale.com//573,"['canon', 'powershot', 'a2400', '16mp', 'digital', 'camera', '5x', 'zoom', '720p', 'video', 'silver']",canon,point shoot,,,,,"['canon', 'powershot', 'a2400', '16mp', 'digital', 'sale', '7299']"
www.gosale.com//1220,"['nikon', 'coolpix', '7600', '7mp', 'digital', 'camera', '3x', 'optical', 'zoom']",nikon,,1816.0,,,h8.0w6.0d6.0,"['nikon', 'coolpix', '7600', '7mp', 'digital', 'camera', 'sale', '49900']"
www.gosale.com//1030,"['sony', 'alpha', 'nex7', 'interchangeable', 'lens', 'digital', 'camera', 'body', 'package', '1']",sony,,,,,,"['sony', 'alpha', 'nex7', 'interchangeable', 'lens', 'sale', '119800']"
www.gosale.com//437,"['fujifilm', 'xe2', '163', 'mp', 'compact', 'system', 'digital', 'camera', '1855mm', 'lens', 'black']",fuji photo film,slr,,,,,"['fujifilm', 'xe2', '163', 'mp', 'compact', 'system', 'sale', '108071']"
www.gosale.com//1106,"['fujifilm', 'finepix', 'real', '3d', 'w3', 'battery', 'kit', 'includes', '2', 'extended', 'replacement', 'np50', '1100', 'mah', 'battery', 'lcd', 'clear', 'screen', 'protectors']",butterflyphoto,,,,,,"['fujifilm', 'finepix', 'real', '3d', 'w3', 'battery', 'kit', 'sale', '2295']"
www.gosale.com//1439,"['nikon', 'd7000', '162mp', 'dxformat', 'dslr', 'camera', 'body']",nikon,,,16.2,,,"['nikon', 'd7000', '162mp', 'dxformat', 'dslr', 'camera', 'sale', '60900']"
www.gosale.com//1028,"['sony', 'cybershot', 'dsct300b', '101mp', 'digital', 'camera', '5x', 'optical', 'zoom', 'super', 'steady', 'shot', 'black']",sony,,3178.0,,,h7.3w6.6d2.2,"['sony', 'cybershot', 'dsct300b', '101mp', 'digital', 'sale', '44945']"
www.gosale.com//1309,"['sony', 'cybershot', 'dscw330', '141mp', 'digital', 'camera', '4x', 'wide', 'angle', 'zoom', 'silver']",sony,point shoot,,14.1,3.0,,"['sony', 'cybershot', 'dscw330', '141mp', 'digital', 'sale', '10950']"
www.gosale.com//987,"['nikon', 'd610', '243mp', 'fxformat', 'digital', 'slr', 'kit', '28300mm', 'f3556g', 'ed', 'vr', 'afs', 'lens']",nikon,slr,,,,,"['nikon', 'd610', '243mp', 'fxformat', 'digital', 'slr', 'sale', '214866']"
www.gosale.com//1211,"['fujifilm', 'finepix', 's2500hd', '12mp', 'digital', 'camera', '18x', 'dual', 'zoom']",fuji,,,12.2,,,"['fujifilm', 'finepix', 's2500hd', '12mp', 'digital', 'sale', '18149']"
www.gosale.com//1382,"['pentax', 'optio', 'e10', '6mp', 'digital', 'camera', '3x', 'optical', 'zoom']",pentax,,908.0,,,h3.5w2.5d1.2,"['pentax', 'optio', 'e10', '6mp', 'digital', 'camera', 'sale', '11598']"
www.gosale.com//1090,"['tripod', 'kit', 'includes', '52', 'inch', 'pro', 'tripod', 'lcd', 'clear', 'screen', 'protectors', 'panasonic', 'lumix', 'dmcg10', '121', 'mp', 'digital', 'camera']",butterflyphoto,,,,,,"['tripod', 'kit', 'includes', '52', 'inch', 'pro', 'tripod', 'sale', '1790']"
www.gosale.com//1170,"['canon', 'powershot', 'a530', '5mp', 'digital', 'camera', '4x', 'optical', 'zoom']",canon,,908.0,,,h3.5w2.5d1.7,"['canon', 'powershot', 'a530', '5mp', 'digital', 'camera', 'sale', '12599']"
www.gosale.com//985,"['nikon', 'd3100', '142mp', 'digital', 'slr', 'camera', '1855mm', 'f3556', 'vr', '55200mm', 'f456g', 'ifed', 'afs', 'dx', 'vr', 'lenses']",nikon,slr,,14.2,,,"['nikon', 'd3100', '142mp', 'digital', 'slr', 'camera', 'sale', '46120']"
www.gosale.com//811,"['flash', 'kit', 'panasonic', 'lumix', 'dmcg1', 'dmcg10', '121', 'mp', 'digital', 'camera', 'includes', 'vivitar', 'df293', 'ttl', 'lcd', 'bounce', 'zoom', 'swivel', 'dslr', 'af', 'flash', '4', 'aa', '2900', 'mah', 'rechargable', 'batteries', 'charger', '52', 'inch', 'pro', 'tripod', '3pc', 'lens', 'cleaning', 'kit']",butterflyphoto,,,,,,"['flash', 'kit', 'panasonic', 'lumix', 'dmcg1', 'sale', '13290']"
www.gosale.com//612,"['olympus', 'omd', 'em10', 'compact', 'system', 'camera', '1442mm', '2rk', 'lens', 'black']",olympus,slr,,,,,"['olympus', 'omd', 'em10', 'compact', 'system', 'camera', 'sale', '69900']"
www.gosale.com//779,"['sony', 'alpha', 'nex7', 'digital', 'camera', '1855mm', 'lens', 'black', 'package', '1']",sony,,,,,,"['sony', 'alpha', 'nex7', 'digital', 'camera', 'sale', '129800']"
www.gosale.com//983,"['sony', 'cybershot', 'dsctx7', 'exmor', 'r', '102mp', 'digital', 'camera', '4x', 'zoom', 'touch', 'screen', 'lcd', 'silver']",sony,point shoot,,10.2,,,"['sony', 'cybershot', 'dsctx7', 'exmor', 'r', '102mp', 'sale', '34583']"
www.gosale.com//733,"['nikon', 'd610', '243', 'mp', 'cmos', 'fxformat', 'digital', 'slr', 'camera', 'bundle', '2485mm', '70300mm', 'nikkor', 'vr', 'afs', 'lenses']",nikon,slr,,,,,"['nikon', 'd610', '243', 'mp', 'cmos', 'fxformat', 'digital', 'sale', '274695']"
www.gosale.com//1041,"['nikon', 'coolpix', 's9100', '121mp', 'cmos', 'digital', 'camera', '18x', 'ed', 'zoom', 'lens', 'full', 'hd', '1080p', 'video', 'black']",nikon,point shoot,,12.1,3.0,,"['nikon', 'coolpix', 's9100', '121mp', 'cmos', 'digital', 'sale', '17874']"
www.gosale.com//537,"['sony', 'dcrdvd610', 'dvd', 'handycam', 'camcorder', '40x', 'optical', 'zoom']",sony,,1362.0,,,h8.0w7.0d5.0,"['sony', 'dcrdvd610', 'dvd', 'handycam', 'camcorder', 'sale', '33598']"
www.gosale.com//954,"['canon', 'eos', '60d', 'digital', 'slr', '2', 'pack', 'battery', 'kit', 'includes', '2', 'extended', 'replacement', 'lpe6', '2600', 'mah', 'battery', '2', 'acdc', 'rapid', 'travel', 'battery', 'charger', 'flexible', 'gripster', 'lcd', 'screen', 'protectors']",butterflyphoto,,,,,,"['canon', 'eos', '60d', 'digital', 'slr', '2', 'pack', 'battery', 'sale', '4490']"
www.gosale.com//1206,"['nikon', 'coolpix', 'l5', '72mp', 'digital', 'camera', '5x', 'optical', 'vibration', 'reduction', 'zoom']",nikon,,908.0,,,h7.7w5.5d3.6,"['nikon', 'coolpix', 'l5', '72mp', 'digital', 'camera', 'sale', '15549']"
www.gosale.com//525,"['olympus', 'pen', 'ep1', '123', 'mp', 'micro', 'four', 'thirds', 'interchangeable', 'lens', 'digital', 'camera', '1442mm', 'f3556', 'zuiko', 'digital', 'zoom', 'lens']",olympus,slr,,12.3,,,"['olympus', 'pen', 'ep1', '123', 'mp', 'micro', 'four', 'sale', '39900']"
www.gosale.com//1287,"['pentax', 'kr', 'digital', 'slr', 'camera', '1855mm', 'lens', 'black', 'sse', 'accessory', 'package', 'including', '3', 'pc', 'filter', 'kit', '8gb', 'sdhc', 'memory', 'card', 'extra', 'battery', 'rapid', 'charger', 'much']",pentax,,,12.4,,,"['pentax', 'kr', 'digital', 'slr', 'camera', 'sale', '85685']"
www.gosale.com//579,"['kodak', 'easyshare', 'z712', '71mp', 'digital', 'camera', '12x', 'optical', 'image', 'stabilized', 'zoom']",kodak,,908.0,,,,"['kodak', 'easyshare', 'z712', '71mp', 'digital', 'sale', '29900']"
www.gosale.com//959,"['sony', 'cybershot', 'dsch7', 'digital', 'camera', '15x', 'optical', 'zoom']",sony,,908.0,,,h4.0w2.5d1.0,"['sony', 'cybershot', 'dsch7', 'digital', 'camera', 'sale', '43418']"
www.gosale.com//1227,"['canon', 'powershot', 'a610', '5mp', 'digital', 'camera', '4x', 'optical', 'zoom']",canon,,1362.0,,,h4.0w2.5d1.8,"['canon', 'powershot', 'a610', '5mp', 'digital', 'camera', 'sale', '40598']"
www.gosale.com//772,"['canon', 'powershot', 'sx130', 'digital', 'camera', 'advanced', 'accessory', 'kit', 'includes', '8gb', 'high', 'speed', 'sd', 'memory', 'card', 'usb', '20', 'high', 'speed', 'card', 'reader', '4aa', '2900', 'mah', 'rechargable', 'nimh', 'baterries', 'charger', 'deluxe', 'carrying', 'case', 'clear', 'lcd', 'screen', 'protectors']",butterflyphoto,,,,,,"['canon', 'powershot', 'sx130', 'digital', 'camera', 'sale', '3890']"
www.gosale.com//849,"['nikon', 'd4', '162mp', 'cmos', 'fx', 'digital', 'slr', 'full', '1080p', 'hd', 'video', 'body']",nikon,slr,,,,,"['nikon', 'd4', '162mp', 'cmos', 'fx', 'digital', 'slr', 'sale', '449500']"
www.gosale.com//845,"['nikon', 'coolpix', 's3300', '16mp', 'digital', 'camera', '6x', 'zoom', 'black']",nikon,point shoot,,,,,"['nikon', 'coolpix', 's3300', '16mp', 'digital', 'camera', 'sale', '9500']"
www.gosale.com//538,"['panasonic', 'dmcfz28s', '10mp', 'digital', 'camera', '18x', 'wide', 'angle', 'mega', 'optical', 'image', 'stabilized', 'zoom', 'silver']",panasonic,,908.0,,,h3.0w3.5d4.6,"['panasonic', 'dmcfz28s', '10mp', 'digital', 'camera', 'sale', '95879']"
www.gosale.com//1324,"['canon', 'eos', '60d', 'digital', 'slr', 'lens', 'kit', 'includes', 'hd', '45x', 'wide', 'angle', 'lense', '3pc', 'filter', 'kit', 'close', 'filters', 'gripster', 'lens', 'hood', 'lens', 'pen']",butterflyphoto,,,,,,"['canon', 'eos', '60d', 'digital', 'slr', 'lens', 'kit', 'sale', '8690']"
www.gosale.com//922,"['canon', 'eos', 'rebel', 't4i', '18mp', 'cmos', 'digital', 'slr', '1855mm', 'efs', 'ii', 'lens']",canon,slr,,,,,"['canon', 'eos', 'rebel', 't4i', '18mp', 'cmos', 'digital', 'slr', 'sale', '50899']"
www.gosale.com//914,"['panasonic', 'lumix', 'dmczs25', 'digital', 'camera', 'silver', '8gb', 'sdhc', 'memory', 'card']",panasonic,,,,,,"['panasonic', 'lumix', 'dmczs25', 'digital', 'camera', 'sale', '22948']"
www.gosale.com//737,"['canon', 'eos', '40d', '101mp', 'digital', 'slr', 'camera', 'body']",canon,slr,1816.0,,,h12.0w14.0d10.0,"['canon', 'eos', '40d', '101mp', 'digital', 'slr', 'camera', 'sale', '112761']"
www.gosale.com//1016,"['fujifilm', 'x100', '123', 'mp', 'apsc', 'cmos', 'exr', 'digital', 'camera', '23mm', 'fujinon', 'lens', '28inch', 'lcd', '8gb', 'sdhc', 'super', 'accessory', 'saver', 'kit']",fuji,,,,,,"['fujifilm', 'x100', '123', 'mp', 'apsc', 'cmos', 'exr', 'sale', '84989']"
www.gosale.com//1045,"['pentax', 'mx1', '12', 'mp', 'digital', 'camera', '4x', 'zoom', 'black']",pentax,point shoot,,,,,"['pentax', 'mx1', '12', 'mp', 'digital', 'camera', 'sale', '29175']"
www.gosale.com//1048,"['flash', 'kit', 'panasonic', 'lumix', 'dmcg10', '121', 'mp', 'digital', 'camera', 'includes', 'vivitar', 'df293', 'ttl', 'lcd', 'bounce', 'zoom', 'swivel', 'dslr', 'af', 'flash', 'mini', 'tripod']",butterflyphoto,,,,,,"['flash', 'kit', 'panasonic', 'lumix', 'dmcg10', 'sale', '11490']"
www.gosale.com//846,"['panasonic', 'lumix', 'dmcfz200', '121mp', 'digital', 'camera', '24x', 'zoom']",panasonic,,,,,,"['panasonic', 'lumix', 'dmcfz200', '121mp', 'digital', 'sale', '41881']"
www.gosale.com//466,"['wide', 'angle', 'lens', '2x', 'telephoto', 'lens', 'multicoated', 'uv', 'filter', 'lenspen', 'rubber', 'lens', 'hood', 'nikon', 'd3000', 'd3100', 'd5000', 'd5100', 'd7000', 'dslr', 'cameras', 'attach', 'nikon', '1855mm', 'f3556g', 'vr', 'afs', 'dx', 'nikkor', 'lens', 'nikon', '55200mm', 'ed', 'afs', 'dx', 'lens']",zeemo,,,,,,"['wide', 'angle', 'lens', '2x', 'telephoto', 'lens', 'sale', '3025']"
www.gosale.com//1043,"['pentax', 'k01', '16mp', 'apsc', 'cmos', 'compact', 'system', 'camera', 'body', 'yellow', 'extended', 'life', 'battery', '32gb', 'sdhc', 'class', '10', 'memory', 'card', 'usb', 'card', 'reader', 'memory', 'card', 'wallet', 'deluxe', 'case', 'wstrap', 'shock', 'proof', 'deluxe', 'case', 'mini', 'hdmi', 'hdmi', 'cable', 'accessory', 'saver', 'b']",bvi,,,,,,"['pentax', 'k01', '16mp', 'apsc', 'cmos', 'compact', 'sale', '56449']"
www.gosale.com//864,"['sony', 'cybershot', 'dscw120l', '72mp', 'digital', 'camera', '4x', 'optical', 'zoom', 'super', 'steady', 'shot', 'blue']",sony,,454.0,,,h3.5w2.2d0.9,"['sony', 'cybershot', 'dscw120l', '72mp', 'digital', 'sale', '24794']"
www.gosale.com//464,"['nikon', 'coolpix', 's100', '16mp', 'cmos', 'digital', 'camera', '5x', 'zoom', 'black']",nikon,point shoot,,,,,"['nikon', 'coolpix', 's100', '16mp', 'cmos', 'digital', 'sale', '12474']"
www.gosale.com//885,"['samsung', 'nx300', '203mp', 'cmos', 'compact', 'interchangeable', 'lens', 'smart', 'wifi', 'digital', 'camera', '2050mm', 'lens', 'white']",samsung,other,,,,,"['samsung', 'nx300', '203mp', 'cmos', 'compact', 'sale', '49900']"
www.gosale.com//1389,"['nikon', 'd700', '121mp', 'digital', 'slr', 'camera', 'body']",nikon,slr,2270.0,,,,"['nikon', 'd700', '121mp', 'digital', 'slr', 'camera', 'sale', '329995']"
